org_study_id,nct_id,brief_title,official_title,overall_status,start_date,completion_date.text,completion_date..attrs,completion_date_type,lead_sponsor/agency,overall_official.last_name,overall_official.role,overall_official.affiliation,phase,study_type,enrollment.text,enrollment..attrs,primary_condition,primary_outcome,eligibility.gender,eligibility.minimum_age,eligibility.maximum_age,eligibility.healthy_volunteers,sponsors.lead_sponsor.agency,sponsors.lead_sponsor.agency_class,date_disclaimer,completion_date,overall_official.last_name.1,overall_official.role.1,overall_official.affiliation.1,enrollment,primary_outcome.measure,primary_outcome.measure.1,sponsors.collaborator.agency,sponsors.collaborator.agency_class,sponsors.collaborator.agency.1,sponsors.collaborator.agency_class.1,name,primary_outcome.time_frame,primary_outcome.time_frame.1,primary_outcome.measure.2,sponsors.collaborator.agency.2,sponsors.collaborator.agency_class.2,primary_outcome.measure.3,primary_outcome.measure.4,primary_outcome.measure.5,sponsors.collaborator.agency.3,sponsors.collaborator.agency_class.3,sponsors.collaborator.agency.4,sponsors.collaborator.agency_class.4,primary_outcome.description,overall_official.last_name.2,overall_official.role.2,overall_official.affiliation.2,overall_official.last_name.3,overall_official.role.3,overall_official.affiliation.3,primary_outcome.measure.6,primary_outcome.measure.7,measure,eligibility.sampling_method,eligibility.textblock.1,overall_official.last_name.4,overall_official.role.4,overall_official.affiliation.4,primary_outcome.description.1,primary_outcome.time_frame.2,primary_outcome.description.2,primary_outcome.time_frame.3,primary_outcome.description.3,start_date.text,start_date..attrs,primary_outcome.time_frame.4,primary_outcome.description.4,primary_outcome.time_frame.5,primary_outcome.description.5,primary_outcome.time_frame.6,primary_outcome.description.6,primary_outcome.time_frame.7,primary_outcome.description.7,primary_outcome.measure.8,primary_outcome.time_frame.8,primary_outcome.description.8,primary_outcome.measure.9,primary_outcome.time_frame.9,primary_outcome.description.9,primary_outcome.measure.10,primary_outcome.time_frame.10,primary_outcome.description.10,primary_outcome.measure.11,primary_outcome.time_frame.11,primary_outcome.description.11,sponsors.collaborator.agency.5,sponsors.collaborator.agency_class.5,sponsors.collaborator.agency.6,sponsors.collaborator.agency_class.6,overall_official.last_name.5,overall_official.role.5,overall_official.affiliation.5,overall_official.last_name.6,overall_official.role.6,overall_official.affiliation.6,overall_official.last_name.7,overall_official.role.7,overall_official.affiliation.7,overall_official.last_name.8,overall_official.role.8,overall_official.affiliation.8,sponsors.collaborator.agency.7,sponsors.collaborator.agency_class.7,sponsors.collaborator.agency.8,sponsors.collaborator.agency_class.8,sponsors.collaborator.agency.9,sponsors.collaborator.agency_class.9,sponsors.collaborator.agency.10,sponsors.collaborator.agency_class.10,sponsors.collaborator.agency.11,sponsors.collaborator.agency_class.11,address.city,primary_outcome.measure.12,primary_outcome.time_frame.12,eligibility.gender_based,eligibility.gender_description,overall_official.last_name.9,overall_official.role.9,overall_official.affiliation.9
HuLow-201605,NCT02614404,Imatinib's Effect on the Suppression of Malaria Parasites in Patients With Uncomplicated Plasmodium Falciparum Malaria,Imatinib's Effect on the Suppression of Malaria Parasites in Patients With Uncomplicated Plasmodium Falciparum Malaria,Recruiting,November 2015,February 2018,Anticipated,Anticipated,HuLow,"Huynh D Chien, MD, PhD",Principal Investigator,Hue University,Phase 1/Phase 2,Interventional,20,Anticipated,Plasmodium Falciparum Malaria,NA,All,18 Years,50 Years,No,HuLow,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,"Francesco M Turrini, MD, PhD",Principal Investigator,"University of Turin, Italy",NA,Time to Parasite Clearance,28-day Cure Rate,Purdue University,Other,"University of Turin, Italy",Other,A Tuc,From baseline to the time point when the blood parasite count is zero (up to a maximum of 5 days),Day 28,NA,Università degli Studi di Sassari,Other,NA,NA,NA,Hue University,Other,NA,NA,"Parasite clearance was determined by assessing the parasite count in blood, using thin film, thick film and qPCR analysis","Philip S Low, PhD",Principal Investigator,Purdue University,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28-day cure rate was defined as the percentage of participants with blood parasite count of zero after 28 days of treatment and no evidence of recurrent infection with the same parasite genotype after reduction of the asexual parasitemia. Follow up after treatment will only be performed in the case of complete clearance of parasites at D5 due to Imatinib treatment.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43207799,NCT03067558,Acute Respiratory Infection Diagnostic Aids (ARIDA) Controlled Accuracy Evaluation Protocol,Acute Respiratory Infection Diagnostic Aids (ARIDA) for Children Under Five Years When Used in a Controlled Setting in Ethiopia: Study Protocol for Controlled Accuracy Evaluation,Not yet recruiting,NA,June 2017,Anticipated,Anticipated,Malaria Consortium,"Karin Kallander, PhD",Principal Investigator,Malaria Consortium,N/A,Observational,290,Anticipated,Pneumonia Childhood,NA,All,N/A,5 Years,Accepts Healthy Volunteers,Malaria Consortium,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Accuracy of ARIDA test device in children under 5 years with cough or difficulty breathing in a controlled setting.,Consistency of ARIDA test device in children under 5 years with cough or difficulty breathing in a controlled setting.,UNICEF,Other,"Federal Ministry of Health, Ethiopia",Other,NA,60-120 seconds,60-120 seconds,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mean difference with standard deviation (precision) between ARIDA test device and simultaneous reference standard RR results.,NA,NA,NA,NA,NA,NA,NA,NA,NA,Non-Probability Sample,"
        Inclusion criteria for child in accuracy and consistency evaluations for ARIDA test device
        and expert clinician:

        A child (2 to 59 months) who fulfils ALL of the following eligibility criteria will be
        included in the accuracy and consistency evaluations:

          1. Age 2 to 59 months

          2. Cough or difficulty breathing

          3. Parent or Guardian consent

        A young infant (0 to <2 months) who fulfils ALL of the following eligibility criteria will
        be included in the accuracy evaluation:

          1. Age 0 to <2 months

          2. Parent or Guardian consent

        Inclusion criteria for child in RR fluctuation evaluations:

        A child who fulfils ALL of the following eligibility criteria will be included in the
        respiratory rate fluctuation evaluation:

          1. Age 2 to 59 months

          2. Parent or Guardian consent

          3. Normal breathing

        Exclusion criteria for child/young infant in all elements of the study:

        A child/young infant with the following criteria will be excluded from all elements of this
        study:

          1. Presenting illness of greater than two weeks' duration.

          2. General danger signs:

               1. Newborns (<28 days): not feeding well, active convulsions/fits, chest indrawing,
                  fever (37.5 degrees or more), low body temperature (less than 35.5 degrees) or
                  movement only when stimulated/no movement at all.

               2. All other age groups: active convulsions/fits, unconscious/lethargic, not
                  breastfeeding/not drinking or vomiting everything.

          3. Signs of severe pneumonia:

               1. Chest indrawing or

               2. Stridor in a calm child

          4. IMNCI pink referral signs for severe disease including stridor, severe dehydration,
             severe persistent diarrhoea, very severe febrile disease, severe complicated measles,
             mastoiditis, complicated severe malnutrition, and severe anaemia.

          5. Parent or Guardian's age less than 16 years.

          6. No Parent or Guardian consent.

        In addition, a child with the following criteria will be excluded from the respiratory rate
        fluctuation evaluation:

          1. Cough or difficult breathing

          2. Fast breathing (see table 2)

        Additional exclusion criteria for child/young infant in an in-patient facility:

          1. Child/young infant being managed by barrier nursing (such as severe burns, child with
             neutropenia, severe infectious diseases).

          2. Child/young infant not eligible for research procedures as advised by the supervising
             clinician.
      ",NA,NA,NA,Mean difference with standard deviation of respiratory rate readings obtained by two simultaneous ARIDA test devices.,NA,NA,NA,NA,April 2017,Anticipated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CDC-CGH-6029,NCT01326754,"Efficacy of Artemether-lumefantrine, Artesunate-amodiaquine and Dihydroartemisinin-piperaquine for the Treatment of Uncomplicated Plasmodium Falciparum Malaria in Malawi","Efficacy and Safety of the Dispersible Formulation of Artemether-lumefantrine, Co-formulated Artesunate-amodiaquine and Co-formulated Dihydroartemisinin-piperaquine for the Treatment of Uncomplicated Plasmodium Falciparum Malaria in Machinga District, Malawi",Completed,August 2011,June 2012,Actual,Actual,Centers for Disease Control and Prevention,"Jacek Skarbinski, MD",Principal Investigator,Centers for Disease Control and Prevention,N/A,Interventional,498,Actual,"Malaria, Falciparum",NA,All,6 Months,59 Months,No,Centers for Disease Control and Prevention,U.S. Fed,"ClinicalTrials.gov processed this data on July 26, 2017",NA,"Don Mathanga, MBBS PhD",Principal Investigator,University of Malawi College of Medicine,NA,Adequate clinical and parasitological response (ACPR),NA,University of Malawi College of Medicine,Other,NA,NA,Machinga District Hospital,42 days,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Absence of parasitaemia on day 42, irrespective of axillary temperature, in patients who did not previously meet any of the criteria of early treatment failure, late clinical failure or late parasitological failure.",NA,NA,NA,NA,NA,NA,NA,NA,Adequate clinical and parasitological response (ACPR),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IZ5856,NCT01328990,Pharmacokinetics of Sulfadoxine-pyrimethamine Plus Amodiaquine for Intermittent Preventive Treatment in Children (IPTc),Pharmacokinetics of Sulfadoxine-pyrimethamine Plus Amodiaquine When Used for Malaria Intermittent Preventive Treatment in Children,Completed,April 2011,July 2011,Actual,Actual,London School of Hygiene and Tropical Medicine,"Badara Cisse, PhD",Study Chair,Universite Chiekh Anta Diop,Phase 1/Phase 2,Interventional,150,Actual,Malaria,NA,All,3 Months,59 Months,Accepts Healthy Volunteers,London School of Hygiene and Tropical Medicine,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,"Paul Milligan, PhD",Study Director,London School of Hygiene and Tropical Medicine,NA,"Concentration of sulfadoxine, pyrimethamine, and desethylamodiaquine",NA,"Cheikh Anta Diop University, Senegal",Other,NA,NA,Universite Chiekh Anta Diop,28 days,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Concentration of the drugs will be measured at four time points.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITCRAA6910,NCT02009215,School-Based Treatment With ACT to Reduce Transmission,'SCHOOL-BASED TREATMENT WITH ACT TO REDUCE TRANSMISSION' (START-IPT): Evaluation of the Community Impact of Intermittent Preventive Treatment for Malaria in Ugandan Children: a Cluster Randomised Trial,Completed,February 2014,April 2015,Actual,Actual,London School of Hygiene and Tropical Medicine,"Sarah G Staedke, MD, PhD",Principal Investigator,London School of Hygiene and Tropical Medicine,Phase 4,Interventional,10746,Actual,Malaria,NA,All,5 Years,N/A,Accepts Healthy Volunteers,London School of Hygiene and Tropical Medicine,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Parasite prevalence measured by microscopy in final community survey,NA,"Infectious Diseases Research Collaboration, Uganda",Other,"University of California, San Francisco",Other,Infectious Diseases Research Collaboration,Approximately 1-4 months after completion of the intervention,NA,NA,University of Durham,Other,NA,NA,NA,NA,NA,NA,NA,"Proportion of thick blood smears that are positive for asexual parasites, as measured by microscopy.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAKMAL1501,NCT02461186,Arterolane-PQP Versus DHA-PQP in Uncomplicated Falciparum Malaria in Eastern Myanmar,"An Open-label Randomized Trial to Assess the Therapeutic Efficacy of Arterolane-piperaquine Versus Dihydroartemisinin-piperaquine for the Treatment of Uncomplicated Falciparum Malaria in Eastern Myanmar, an Area of Emerging Artemisinin-resistant Falciparum Malaria",Withdrawn,June 2015,June 2017,Anticipated,Anticipated,University of Oxford,"Arjen M Dondorp, MD",Principal Investigator,Mahidol Oxfrod Tropical Medicine Research Unit,Phase 2/Phase 3,Interventional,0,Actual,Uncomplicated Falciparum Malaria; Artemisinin-resistant,NA,All,18 Years,N/A,No,University of Oxford,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Peripheral blood parasite half-life,NA,Mahidol Oxford Tropical Medicine Research Unit,Other,"Department of Medical Research, Lower Myanmar",Other,NA,2 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Peripheral blood parasite half-life of the linear portion of the natural logarithm parasite clearance curve in patients with parasitaemia at inclusion >10,000 parasites/µL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FosClinChildren,NCT01361269,Evaluation of Fosmidomycin and Clindamycin in the Treatment of Acute Uncomplicated Plasmodium Falciparum Malaria,Multicentre Evaluation of Fosmidomycin and Clindamycin in the Treatment of Acute Uncomplicated Plasmodium Falciparum Malaria in African Children,Unknown status,June 2011,December 2011,Anticipated,Anticipated,Zentopharm GmbH,"Saadou Issifou, MD PhD",Principal Investigator,"Medical Research Unit, Albert Schweitzer Hospital",Phase 2,Interventional,100,Anticipated,Malaria,NA,All,3 Years,10 Years,No,Zentopharm GmbH,Industry,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Cure rate,NA,Albert Schweitzer Hospital,Other,Centro de Investigacao em Saude de Manhica,Other,"Medical Research Unit, Albert Schweitzer Hospital",Day 28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cure rate at day 28 will be determined by PCR,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45114-2,NCT01389557,"Impact of Dihydroartemisinin-piperaquine Plus Primaquine on Malaria Transmission in Lampung Province, Sumatra","Evaluation of Impact Dihydroartemisinin-piperaquine Plus Primaquine on Malaria Transmission in Lempasing Village, Lampung Province, Southern Sumatra",Completed,February 2011,December 2011,Actual,Actual,Indonesia University,"Inge Sutanto, Md PhD",Principal Investigator,Univesity of Indonesia,Phase 4,Interventional,77,Actual,Malaria,NA,All,N/A,N/A,Accepts Healthy Volunteers,Indonesia University,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Presence of malaria (P. falciparum and P. vivax) parasites in blood spot,NA,NA,NA,NA,NA,"Inge Sutanto, Hanura Primary Health Center",6 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Finger prick blood samples are collected for malaria blood smear. Thick and thin blood smears were stained with 3% Giemsa solution for 40 minutes and were read under binocular microscope with 1,000X magnification.",NA,NA,NA,NA,NA,NA,NA,NA,Presence of malaria (P. falciparum and P. vivax) parasites in blood spot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PATH Outgrowers,NCT01397851,Stimulating Private Sector Malaria Control,Stimulating Private Sector Malaria Control: The Outgrower Opportunity,Completed,December 2010,December 2013,Actual,Actual,PATH,NA,NA,NA,N/A,Interventional,81597,Actual,Malaria,NA,All,N/A,N/A,Accepts Healthy Volunteers,PATH,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Cotton Yields,NA,NA,NA,NA,NA,National Malaria Control Centre,2010-2011 season (up to 1 year),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Farmer's cotton yields (kg delivered per household), as defined in the routine data collection system of the participating cotton outgrowing agribusiness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40461-B,NCT01425073,Discontinuation of Trimethoprim-sulfamethoxazole Prophylaxis in Adults on Antiretroviral Therapy in Kenya,Discontinuation of Trimethoprim-sulfamethoxazole Prophylaxis in Adults on Antiretroviral Therapy in Kenya: a Randomized Trial,Completed,February 2012,October 2013,Actual,Actual,University of Washington,"Christina Polyak, MD, MPH",Principal Investigator,"Kenya Medical Research Institute/ Department of Medicine, University of Washington",N/A,Interventional,500,Actual,HIV Infections; Acquired Immunodeficiency Syndrome; Disease Progression; Immune System Diseases; Malaria; Parasitic Diseases; Pneumonia; Diarrhea; Infectious Disorder of Immune System,NA,All,18 Years,N/A,No,University of Washington,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,"Incidence of severe infectious morbidity (malaria, pneumonia, diarrhea)",NA,Kenya Medical Research Institute,Other,NA,NA,NA,12 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A combined outcome of malaria, pneumonia or severe diarrhea.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1203M11234,NCT01754701,Acute vs. Delayed Iron: Effect on Red Cell Iron Incorporation in Severe Malaria,Acute vs. Delayed Iron: Effect on Red Cell Iron Incorporation in Severe Malaria,Completed,June 2013,May 2015,Actual,Actual,University of Minnesota - Clinical and Translational Science Institute,"Sarah Cusick, Ph.D.",Principal Investigator,University of Minnesota - Clinical and Translational Science Institute,N/A,Interventional,100,Actual,Iron Deficiency; Malaria; Nutrition; Global Health,NA,All,6 Months,59 Months,No,University of Minnesota - Clinical and Translational Science Institute,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Percent red blood cell iron incorporation on Day 0 in children in the immediate group vs. percent red blood cell iron incorporation on Day 28 in children in the delayed group,NA,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),NIH,NA,NA,Mulago Hospital,56 days,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,All children will receive iron stable isotope 57Fe on Day 0 and iron stable isotope 58Fe on Day 28. Children in the immediate group will begin 27 days of daily iron syrup at home on Day 1. Children in the delayed group will begin 27 days of daily iron syrup at home on Day 29. All children will be assessed at the hospital at Day 28 and Day 56.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ITDCZC58,NCT02288637,Evaluation of a Novel Long Lasting Insecticidal Net and Indoor Residual Spray Product,"Evaluation of a Novel Long Lasting Insecticidal Net and Indoor Residual Spray Product, Separately and Together, Against Malaria Transmitted by Pyrethroid Resistant Mosquitoes.",Recruiting,September 2014,April 2018,Anticipated,Anticipated,London School of Hygiene and Tropical Medicine,"Mark Rowland, Phd",Principal Investigator,London School of Hygiene and Tropical Medicine,N/A,Interventional,3840,Anticipated,Malaria; Anaemia,NA,All,6 Months,14 Years,Accepts Healthy Volunteers,London School of Hygiene and Tropical Medicine,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,"Franklin W Mosha, Phd",Principal Investigator,Kilimanjaro Christian Medical College,NA,Difference in prevalence of malaria infection in children 0.5-14 years between intervention arms,Difference in Entomological Inoculation Rate,NA,NA,NA,NA,District Muleba,up to 15 months,up to 15 months,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malaria infection tested using Pf/Pan specific Malaria Rapid Diagnostic Test,"William Kisinza, Phd",Principal Investigator,National Institute of Medical Research,"Immo Kleinshmidt, Phd",Principal Investigator,London School of Hygiene and Tropical Medicine,NA,NA,NA,NA,NA,"Natacha Protopopoff, Phd",Principal Investigator,London School of Hygiene and Tropical Medicine,Malaria transmission measured by the Entomological Inoculation Rate (EIR) for each mosquito vector species.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
InstitutRD,NCT03074435,Insecticide Resistance Management in Burkina Faso and Côte d'Ivoire,Insecticide Resistance Management in Burkina Faso and Côte d'Ivoire: Research on Vector Control Strategies,Enrolling by invitation,April 2016,April 2019,Anticipated,Anticipated,Institut de Recherche pour le Developpement,"Cédric Pennetier, PhD",Principal Investigator,Institut de Rehcerche pour le Développement,Phase 3,Interventional,18000,Anticipated,Malaria,NA,All,6 Months,20 Years,Accepts Healthy Volunteers,Institut de Recherche pour le Developpement,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Malaria incidence,NA,"Institut de Recherche en Sciences de la Sante, Burkina Faso",Other,Institut Pierre Richet,Other,NA,continuous monitoring during 2 years,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Malaria cases reported in local health system,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
REACH,NCT02492178,Bio-availability of Rectal Artesunate in Children With Severe Falciparum Malaria,NA,Completed,July 2015,October 2015,Actual,Actual,University of Oxford,NA,NA,NA,Phase 2,Interventional,82,Actual,Malaria,NA,All,N/A,N/A,No,University of Oxford,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Pharmacokinetics profile of rectal artesunate,NA,Kinshasa School of Public Health,Other,NA,NA,Kinshasa School of Public Health,24 hours,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The pharmacokinetics profile of rectal artesunate (the study drug), consisting of: area under the concentration-time curve; terminal elimination half-life; elimination clearance; apparent volume of distribution will be measured and compared to the pharmacokinetic profile of intravenous artesunate (the comparator).",NA,NA,NA,NA,NA,NA,NA,NA,Pharmacokinetics profile of rectal artesunate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012139,NCT01976416,Novel Use Of Hydroxyurea in an African Region With Malaria,Novel Use Of Hydroxyurea in an African Region With Malaria,"Active, not recruiting",September 2014,October 2017,Anticipated,Anticipated,Indiana University,"Chandy C. John, M.D.",Principal Investigator,Indiana University,Phase 3,Interventional,200,Anticipated,Sickle Cell Anemia; Sickle Cell Disease; Malaria,NA,All,12 Months,47 Months,No,Indiana University,Other,"ClinicalTrials.gov processed this data on July 26, 2017",NA,NA,NA,NA,NA,Malaria incidence,NA,Doris Duke Charitable Foundation,Other,Makerere University,Other,Mulago Hospital Sickle Cell Clinic,12 months,NA,NA,"Mulago Hospital, Uganda",Other,NA,NA,NA,"Children's Hospital Medical Center, Cincinnati",Other,NA,NA,"Malaria is defined as the presence of P. falciparum or P. malariae on the peripheral smear of any child brought in for medical evaluation of fever. P. vivax, P. ovale and P. knowlesi are not known to be present in this region, but if a child is seen with suspected infection with any of these malaria parasites, this will also be recorded as a case of malaria.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
